Index,Title-EN,Raga-EN,Tala-EN,Title-SA,Raga-SA,Tala-SA,Mismatch-Reason
95,govindarājena,mecabauli,Unknown,गोविन्दराजेन,मेचबौळि (१५),रूपकम्,"Scores: T=100.0, R=100.0, TL=0.0"
97,gauri girirājakumāri,gauri,Unknown,शिवाकारमञ्जे परशिवपर्यङ्कविहारे,गौरि (१५),रूपकम्,"Scores: T=35.7, R=100.0, TL=0.0"
101,cidambaranatarājam,kedāram,Unknown,चिदम्बरनटराजम्,केदारम् (२९),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
113,tārakeśvara,śaṅkarābharanaṃ,Unknown,तारकेश्वर,शङ्कराभरणम् (२१),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
116,tyāgarāja mahadhvajāroha,śrī,rūpakam,त्यागराज महध्वजारोह,श्री (२२),आदि,"Scores: T=100.0, R=100.0, TL=20.0"
117,tyāgarājayogavaibhavam,ānandabhairavi,Unknown,त्यागराजयोगवैभवम्,आनन्दभैरवि (२०),रूपकम्,"Scores: T=100.0, R=100.0, TL=0.0"
121,tyāgarājena samrakṣito'ham,sālagabhairavi,ādi,त्यागराजेन संरक्षितोऽहम्,साळगभैरवि ४६ (२२),Unknown,"Scores: T=100.0, R=90.3, TL=0.0"
126,tripurasundari namostu te,devamanohari,Unknown,त्रिपुरसुन्दरि नमोस्तु ते,देवमनोहरि (२२),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
132,dāśarathe,śaṅkarābharana,rūpakam,दाशरथे,शङ्कराभरणम् (२१),तिस्र एकम्,"Scores: T=100.0, R=96.6, TL=35.3"
133,dākṣāyaṇi,toḍi,Unknown,दाक्षायणि,तोडि (द),रूपकम्,"Scores: T=100.0, R=100.0, TL=0.0"
135,dinabandho,śaṅkarābharaṇam,Unknown,दीनबन्धो,शङ्कराभरणम् (२१),तिश्र एकम्,"Scores: T=100.0, R=100.0, TL=0.0"
138,nandagopāla,yamunākalyāṇi,miśra cāpu,नन्दगोपाल,यमुनाकल्याणि (६५),आदि,"Scores: T=100.0, R=100.0, TL=30.8"
139,nabhomanicandrāgninayanam,nabhomani,Unknown,नभोमणिचन्द्राग्निनयनम्,नभोमणि (४०),मिश्र चापु,"Scores: T=100.0, R=100.0, TL=0.0"
141,namo namaste gīrvāṇi,mohanam,Unknown,नरसिंहाऽऽगच्छ,मोहनम् (६५),चापु,"Scores: T=44.4, R=100.0, TL=0.0"
142,"narasimhā""gaccha",jayaśuddhamāḷavi,triputa,नरहरिमाश्रयामि,जयशुद्धमाळवि (१८),त्रिपुट,"Scores: T=42.4, R=100.0, TL=100.0"
143,naraharimāśrayāmi,nāmadeśi,triputa,नर्मदाकावेरी,नामदेशि (५०),त्रिपुट,"Scores: T=53.3, R=100.0, TL=100.0"
144,narmadākāverī,gamakakriyā,khẩn da ekam,नवरत्नमालिनीम्,गमकक्रिया (५३),खण्ड एकम्,"Scores: T=48.3, R=100.0, TL=78.3"
145,navaratnamālinīm,navaratnavilāsam,Unknown,नवरत्नविलासविभवप्रदे,नवरत्नविलासम् (२०),Unknown,"Scores: T=51.2, R=100.0, TL=0.0"
146,navaratnavilāsavibhavaprade,nāgagāndhāri,ādi,नागगान्धारीरागनुते,नागगान्धारि (२०),आदि,"Scores: T=42.6, R=100.0, TL=100.0"
147,nāgagāndhārīrāganute,mohanam,Unknown,नागलिङ्गं नमामि,मोहनम् (६५),आदि,"Scores: T=48.6, R=100.0, TL=0.0"
148,nāgalingam namāmi,śaṅkarābharaṇam,ādi,नागलिङ्गं भजेऽहम्,शङ्कराभरणम् (२९),Unknown,"Scores: T=54.1, R=100.0, TL=0.0"
149,nāgalingam bhaje’ham,nāgābharaṇam,Unknown,नागाभरणम्,नागाभरणम् (३०),आदि,"Scores: T=43.8, R=100.0, TL=0.0"
150,nāgābharanaṃ,niṣadam,miśra cāpu,निषदादि,निषदम् (६०),मिश्र चापु,"Scores: T=30.0, R=100.0, TL=100.0"
151,niṣadādi,hindolam,rūpakam,नीरजाक्षि कामाक्षि,हिन्दोळम् (२०),रूपकम्,"Scores: T=40.0, R=100.0, TL=100.0"
152,nīrajākṣi kāmākṣi,vasan,rūpakam,नीलकण्ठ महादेव,वसन्त (१५),रूपकम्,"Scores: T=38.9, R=83.3, TL=100.0"
153,nīlantha mahādeva,nādarāmakriya,Unknown,नीलकण्ठाय नमो नमस्ते,नादरामक्रिय (१५),मिश्र चापु,"Scores: T=61.9, R=100.0, TL=0.0"
154,nīlakanthāya namo namaste,kedāragauḷa,rūpakam,नीलकण्ठं भजेऽहम्,केदारगौळ (२८),रूपकम्,"Scores: T=69.6, R=100.0, TL=100.0"
155,nīlakantham bhaje'ham,nīlāmbari,khẩn dịa ekam,नीलाङ्गम्,नीलाम्बरि (२९),Unknown,"Scores: T=48.3, R=100.0, TL=0.0"
156,nīlāṅgam,sumadyuti,ādi,नीलाचलनाथम्,सुमद्युति (५७),आदि,"Scores: T=63.6, R=100.0, TL=100.0"
157,nīlācalanātham,nārāyaṇagaula,Unknown,नीलोत्पलाम्बा जयति,नारायणगौळ (२१),मिश्र चापु,"Scores: T=42.4, R=100.0, TL=0.0"
158,nīlotpalāmbā jayati,nārīritigala,miśra cāpu,नीलोत्पलाम्बाम्,नारीरीतिगळ (२०),Unknown,"Scores: T=75.0, R=100.0, TL=0.0"
174,paradevate bhaktabhavamodini,śaṅkarābharaṇam,ādi,परदेवते भक्तभवमोदिनि,शङ्कराभरणम् (२१),रूपकम्,"Scores: T=100.0, R=100.0, TL=20.0"
176,parameśvara jagadīśvara,calanāṭa,Unknown,परमेश्वर जगदीश्वर,चलनाट (३६),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
180,parimalaṟaṅganātham,hamīr kalyāṇi,rūpakam,परिमळरङ्गनाथम्,हमीर् कल्याणि (६५),Unknown,"Scores: T=100.0, R=100.0, TL=0.0"
183,paramdhāmavatī,dhāmavati,rūpakam,पर्वतराजकुमारि,धामवति (५९),रूपकम्,"Scores: T=51.6, R=100.0, TL=100.0"
184,parvatarājakumāri,śrīrañjani,ādi,पर्वतवर्धनि पाहिमाम्,श्रीरञ्जनि (२२),आदि,"Scores: T=50.0, R=100.0, TL=100.0"
185,parvatavardhani pāhimām,sāma,adi,219,साम (२१),आदि,"Scores: T=0.0, R=100.0, TL=100.0"
187,pavanātmajam,śaṅkarābharanaṃ,Unknown,पवनात्मजम्,शङ्कराभरणम् (२९),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
188,śukaśaunakāditoṣita śivapantuvarāli rāgapriyamaticaturam,śivapantuvarāli,ādi,पशुपतीश्वरम्,शिवपन्तुवराळि (४५),आदि,"Scores: T=28.6, R=100.0, TL=100.0"
190,pārvatīkumāram,nā,rūpakam,पार्वतीकुमारम्,नाटकुरञ्जि (२८),रूपकम्,"Scores: T=100.0, R=30.8, TL=100.0"
192,pārvatīpate,śaṅkarābharanaṃ,Unknown,पार्वतीपते,शङ्कराभरणम् (२९),चतुरश्र एकम्,"Scores: T=100.0, R=100.0, TL=0.0"
193,pārvatīśvareṇa,bhūṣāvati,ādi,पार्वतीश्वरेण,भूषावति (६४),Unknown,"Scores: T=100.0, R=100.0, TL=0.0"
194,pālaya mām parameśvari,taraṅgiṇi,Unknown,पालय मां परमेश्वरि,तरङ्गिणि (२६),रूपकम्,"Scores: T=100.0, R=100.0, TL=0.0"
199,pāhi mām janakīvallabha,śaṅkarābharaṇam,rūpakam,पाहि मां जनकीवल्लभ,शङ्कराभरणम् (२१),तिश्र एकम्,"Scores: T=100.0, R=100.0, TL=35.3"
200,pāhi mām pārvati parameśvari,mohanam,ādi,पाहि मां पार्वति परमेश्वरि,मोहनम् (६५),रूपकम्,"Scores: T=100.0, R=100.0, TL=20.0"
201,pāhi mām ratnācalanāyaka,mukhāri,tiśra ekam,पाहि मां रत्नाचलनायक,मुखारि (२०),आदि,"Scores: T=100.0, R=100.0, TL=30.8"
